officer_id,name_clean,n,cluster
H618,"MOON, DARRIN",40,1
H618,"MOORE, DARREN",13,1
I005,"GREEN, LASHON",21,1
I005,"GREENE, L",2,1
I018,"BONILLA, CINDY",12,1
I018,"OROBITG, CINDY",5,1
I029,"SMALLWOOD, FONTAINE",1082,1
I029,"SMALLWOOD, STEVEN",81,1
I045,"ALSTON, MONICA",81,1
I045,"ALBINO, MONICA",3,1
I065,"VILLODAS, I SRAEL JR",595,1
I065,"VILLOVAS, I",216,1
I222,"DISIMORNE, M",287,1
I222,"DISIMONE, MATTHEW JR",41,1
I250,"SHELTON, STEPHEN",223,1
I250,"SHELTON, ADAM",175,1
I255,"GRACIA, J",37,2
I255,"GARCIA, JOSIE",2,2
I378,"MAHONEY, KATIE",141,1
I378,"ROGERS, KATIE",63,1
I593,"WASHINGTON, CHANTELL",104,1
I593,"ENGLISH, CHANTELL",30,1
I637,"DICKERSON, RYAN",62,1
I637,"DICKSTEIN, RYAN",38,1
I651,"WALLACE, MISTY",98,1
I651,"BATTLE, MISTY",14,1
I785,"ROBINSON, MATTHEW",208,1
I785,"ROBINSON, MICHAEL",1,1
I820,"KOCHER, THOMAS",140,1
I820,"HOPKINS, THOMAS",11,1
I975,"MONTMORENCY, JOHNATHAN",301,1
I975,"MONMORENCY, J",2,1
J110,"MELNICK, SHETPHANIE",24,1
J110,"MILLES, STEPHANIE",3,1
J146,"CHARLES, RACHEL",389,1
J146,"WORSLEY, RACHEL",14,1
J334,"RODRIGUEZ, ALBERT",237,1
J334,"RODRIGUEZ, PATRICK",1,1
J473,"REIHL, DAVID THOMAS",161,1
J473,"RIEHL, DAVID",3,1
J782,"TABRON, TYRELL",80,1
J782,"TABRON, PO",12,1
J973,"SMALL, D",38,1
J973,"SMALLS, DAVON",7,1
K046,"ALICEA, F",11,1
K046,"ALICEA BATISTA, FRANCISO",2,1
